,Project ID,country_atlas,un-region,bureau,year,title_atlas,description,sector,budget_atlas,expense,sdgs,solution,donors_atlas,funding source,lifetime budget
399,93070,BIH,Asia-Pacific Group,RBAP,2021,Disaster Risk Reduction in BIH,DRRI in BiH–enhancing capacities for reliable & efficient preparedness and response system.,"[{'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '5', 'name': 'Risk Reduction'}]",23109,24520,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID)', 'GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'GOVERNMENT OF TURKEY', 'International Fund for Animal Welfare', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,4558619
400,132013,BIH,Asia-Pacific Group,RBAP,2022,Green Economic Development Project – III Phase,Green Economic Development Project – III Phase- creation of favorable environment for investing in energy efficient infrastructure measures in BiH.,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",4743780,3943841,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'Javno preduzeće „RAD“ dioničko društvo Tešanj', 'SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA)']",Non-VF,6294159
401,100067,BIH,Asia-Pacific Group,RBAP,2022,Scaling-up Investment in Low-Carbon Public Buildings,Scaling-up Investment in Low-Carbon Public Buildings via design and implementation of the National Framework for Low-Carbon Investment in Public Buildings,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",4078970,3484258,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'GREEN CLIMATE FUND', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,11530974
402,105415,BIH,Asia-Pacific Group,RBAP,2022,Green Economic Development Phase II,Green Economic Development Phase II: to create a favorable environment for investing in energy efficient infrastructure measures in BiH.,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",2083703,1739240,"[11, 13, 4, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'Greenways', 'Regional Education and Information Center for Sustainable Development in South East Europe', 'SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA)']",Non-VF,18383776
403,132014,BIH,Asia-Pacific Group,RBAP,2022,Decarbonzation of Residential Sector in Bosnia and Her,Decarbonization of Residential Sector in Bosnia and Herzegovina by creation of favorable environment for investment in EE/RES in residential sector in Bosnia and Herzegovina.,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",1127807,1120966,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA)'],Non-VF,1771084
404,48025,BIH,Asia-Pacific Group,RBAP,2022,Mainstreaming Green Environmental Development,Enhancing BIH Environmental Policies planning by introducing and developing local environmental and energy action plans,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",986078,966877,"[11, 13, 4, 7]","['Others', 'Enhance national prevention and recovery capacities for resilient societies']","['GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'SWEDISH INTERNATIONAL DEVELOPMENT COOPERATION (SIDA)', 'The Sports-Cultural-Economic Center Mejdan', 'UNDP AS ADMINISTRATIVE AGENT FOR A JOINT PROGRAMME PASS THROUGH ARRANGEMENT', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,29752153
405,96684,BIH,Asia-Pacific Group,RBAP,2022,Low Carbon Urban Development,"Catalyzing Environmental Finance for Low-Carbon Urban Development thereby promoting safer, cleaner, and healthier cities and reducing urban GHG emissions","[{'code': '18', 'name': 'Accelerate structural transformations'}]",935930,897507,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['Global Environment Fund Truste', 'GOVERNMENT OF BOSNIA AND HERZEGOVINA']",Non-VF,2741221
406,141105,BIH,Asia-Pacific Group,RBAP,2022,Inclusive Decarbonization Activity IDA,"Leveraging Nationally Determined Contributions (NDCs) to achieve net-zero emissions and climate-resilient development, in response to the climate emergency","[{'code': '18', 'name': 'Accelerate structural transformations'}]",821580,824940,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['GOVERNMENT OF JAPAN'],Non-VF,821580
407,100066,BIH,Asia-Pacific Group,RBAP,2022,Advancing National Adaptation Process,Advance the National Adaptation process (NAP) for medium term investment planning in climate sensitive sectors in Bosnia and Herzegovina,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",369486,354439,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'GREEN CLIMATE FUND']",Non-VF,2623575
408,105090,BIH,Asia-Pacific Group,RBAP,2022,Fourth National Communication,Fourth National Communication and Third Biennial Update Report under the United Nations Framework Convention on Climate Change (UNFCCC),"[{'code': '18', 'name': 'Accelerate structural transformations'}]",272249,271099,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['Global Environment Fund Truste', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,1001245
409,131266,BIH,Asia-Pacific Group,RBAP,2022,Green Deal,Localized “Green Deal” - Decarbonization of industry and residential sector in pilot areas.,"[{'code': '18', 'name': 'Accelerate structural transformations'}]",147398,145425,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['UNITED NATIONS DEVELOPMENT PRO'],Non-VF,614042
410,93070,BIH,Asia-Pacific Group,RBAP,2022,Disaster Risk Reduction in BIH,DRRI in BiH–enhancing capacities for reliable & efficient preparedness and response system.,"[{'code': '18', 'name': 'Accelerate structural transformations'}, {'code': '5', 'name': 'Risk Reduction'}]",44045,46643,"[11, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],"['DEPARTMENT FOR INTERNATIONAL DEVELOPMENT (DFID)', 'GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'GOVERNMENT OF TURKEY', 'International Fund for Animal Welfare', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,4558619
411,107560,BIH,Asia-Pacific Group,RBAP,2022,Improvements in district heating,Improving air quality in Bosnia and Herzegovina through promotion of renewable energy sources and improvements in district heating,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '17', 'name': 'Eradicate poverty in all its forms and dimensions'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",5628,5628,"[11, 12, 13, 15, 7]","['Enhance national prevention and recovery capacities for resilient societies', 'Promote nature-based solutions for a sustainable planet']","['GOVERNMENT OF BOSNIA AND HERZEGOVINA', 'GOVERNMENT OF ITALY', 'UNITED NATIONS ENVIRONMENT PROGRAMME']",Non-VF,1594882
412,36350,BWA,Asia-Pacific Group,RBAP,2012,Renewable Energy-based Rural Electrification in Botswana,"PIMS 1771 CC FSP: Solar PV 

Full-Size Project: Renewable Energy-Based Rural Electrification Programme For Botswana","[{'code': '1', 'name': 'Inclusive Growth'}]",405000,8011,[],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BOTSWANA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,3290081
413,36350,BWA,Asia-Pacific Group,RBAP,2013,Renewable Energy-based Rural Electrification in Botswana,"PIMS 1771 CC FSP: Solar PV 

Full-Size Project: Renewable Energy-Based Rural Electrification Programme For Botswana","[{'code': '1', 'name': 'Inclusive Growth'}]",2428083,1302882,[],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BOTSWANA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,3290081
414,36350,BWA,Asia-Pacific Group,RBAP,2014,Renewable Energy-based Rural Electrification in Botswana,"PIMS 1771 CC FSP: Solar PV 

Full-Size Project: Renewable Energy-Based Rural Electrification Programme For Botswana","[{'code': '1', 'name': 'Inclusive Growth'}]",456998,465518,[],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BOTSWANA', 'UNITED NATIONS DEVELOPMENT PRO']",Non-VF,3290081
415,98758,BWA,Asia-Pacific Group,RBAP,2017,Promoting production and utilisation of bio-methane from agro-waste,The Botswana National Development Plan 2010-2016 accords priority to transforming agro-waste into biogas.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",387500,207105,"[1, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['Global Environment Fund Truste'],Non-VF,3095801
416,98758,BWA,Asia-Pacific Group,RBAP,2018,Promoting production and utilisation of bio-methane from agro-waste,The Botswana National Development Plan 2010-2016 accords priority to transforming agro-waste into biogas.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",490650,382526,"[1, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['Global Environment Fund Truste'],Non-VF,3095801
417,98758,BWA,Asia-Pacific Group,RBAP,2019,Promoting production and utilisation of bio-methane from agro-waste,The Botswana National Development Plan 2010-2016 accords priority to transforming agro-waste into biogas.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",410650,356242,"[1, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['Global Environment Fund Truste'],Non-VF,3095801
418,98758,BWA,Asia-Pacific Group,RBAP,2020,Promoting production and utilisation of bio-methane from agro-waste,The Botswana National Development Plan 2010-2016 accords priority to transforming agro-waste into biogas.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",436000,114983,"[1, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['Global Environment Fund Truste'],Non-VF,3095801
419,98758,BWA,Asia-Pacific Group,RBAP,2021,Promoting production and utilisation of bio-methane from agro-waste,The Botswana National Development Plan 2010-2016 accords priority to transforming agro-waste into biogas.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",1148001,721350,"[1, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['Global Environment Fund Truste'],Non-VF,3095801
420,98758,BWA,Asia-Pacific Group,RBAP,2022,Promoting production and utilisation of bio-methane from agro-waste,The Botswana National Development Plan 2010-2016 accords priority to transforming agro-waste into biogas.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",223000,403611,"[1, 13, 7]",['Enhance national prevention and recovery capacities for resilient societies'],['Global Environment Fund Truste'],Non-VF,3095801
421,11660,BRA,Asia-Pacific Group,RBAP,2012,BRA/99/G32 - Hydrogen Fuel Cell Buses,Hydrogen Fuel Cell Buses for Urban Transport,"[{'code': '7', 'name': 'Thought Leadership'}]",1711000,1703898,[17],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BRAZIL']",Non-VF,5691380
422,48524,BRA,Asia-Pacific Group,RBAP,2012,BRA/09/G31 - Energy Efficiency in Buildings,"The project objective is to influence, transform and develop the marked for energy-efficient building operations in Brazil","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",63815,63367,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,4814344
423,60475,BRA,Asia-Pacific Group,RBAP,2012,BRA/10/G41-RCCS Brazil - Renewable CO2 Capture,BRA/10/G41-PIMS 4322 - RCCS Brazil - Renewable CO2 Capture and Storage from Sugar Fermentation Industry in Sao Paulo State,[],33930,33678,[],['Others'],['Global Environment Fund Truste'],Non-VF,33930
424,11660,BRA,Asia-Pacific Group,RBAP,2013,BRA/99/G32 - Hydrogen Fuel Cell Buses,Hydrogen Fuel Cell Buses for Urban Transport,"[{'code': '7', 'name': 'Thought Leadership'}]",850435,817347,[17],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BRAZIL']",Non-VF,5691380
425,48524,BRA,Asia-Pacific Group,RBAP,2013,BRA/09/G31 - Energy Efficiency in Buildings,"The project objective is to influence, transform and develop the marked for energy-efficient building operations in Brazil","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",189600,188575,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,4814344
426,51455,BRA,Asia-Pacific Group,RBAP,2013,BRA/10/G31-PIMS 3515 SUCRE-Sugarcane Renewable Electricity,The overall objective of the project is to catalyze the establishement of a comercial market for sugarcane-based to the brazilian grid,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",117506,55593,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,8251276
427,69375,BRA,Asia-Pacific Group,RBAP,2013,BRA/12/G41 - Biomass-based Charcoal,"PPG ""Production of Sustainable Renewable Biomass-based Charcoal""","[{'code': '1', 'name': 'Inclusive Growth'}]",38093,38017,[],['Others'],['Global Environment Fund Truste'],Non-VF,38093
428,11660,BRA,Asia-Pacific Group,RBAP,2014,BRA/99/G32 - Hydrogen Fuel Cell Buses,Hydrogen Fuel Cell Buses for Urban Transport,"[{'code': '7', 'name': 'Thought Leadership'}]",1302005,1281190,[17],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BRAZIL']",Non-VF,5691380
429,48524,BRA,Asia-Pacific Group,RBAP,2014,BRA/09/G31 - Energy Efficiency in Buildings,"The project objective is to influence, transform and develop the marked for energy-efficient building operations in Brazil","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",704910,439304,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,4814344
430,88231,BRA,Asia-Pacific Group,RBAP,2015,ORGANIZAÇÃO DOS I JOGOS MUNDIAIS INDÍGENAS,"I World Indians Games Organization  to promote, publicize and preserve the indians culture","[{'code': '7', 'name': 'Thought Leadership'}]",10350908,10321625,[10],['Close the energy gap'],['BRA-MINISTERIO DO ESPORTE'],Non-VF,13612382
431,11660,BRA,Asia-Pacific Group,RBAP,2015,BRA/99/G32 - Hydrogen Fuel Cell Buses,Hydrogen Fuel Cell Buses for Urban Transport,"[{'code': '7', 'name': 'Thought Leadership'}]",700765,698752,[17],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BRAZIL']",Non-VF,5691380
432,48524,BRA,Asia-Pacific Group,RBAP,2015,BRA/09/G31 - Energy Efficiency in Buildings,"The project objective is to influence, transform and develop the marked for energy-efficient building operations in Brazil","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",524233,320556,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,4814344
433,51455,BRA,Asia-Pacific Group,RBAP,2015,BRA/10/G31-PIMS 3515 SUCRE-Sugarcane Renewable Electricity,The overall objective of the project is to catalyze the establishement of a comercial market for sugarcane-based to the brazilian grid,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",500402,396423,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,8251276
434,83642,BRA,Asia-Pacific Group,RBAP,2015,Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,BRA/14/G32 - Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",150000,102086,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,5259676
435,83645,BRA,Asia-Pacific Group,RBAP,2015,Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,BRA/14/G33 - Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",150000,28727,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,7039844
436,77784,BRA,Asia-Pacific Group,RBAP,2015,BRA/14/G31 PIMS 4675 Production of biomass-based charcoa,BRA/14/G31 - The proposed UNDP/GEF initiative is aimed at reducing the greenhouse gas emissions from the iron and steel sector in the Brazilian State of Minas Gerais.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1000,219,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,9132654
437,88231,BRA,Asia-Pacific Group,RBAP,2016,ORGANIZAÇÃO DOS I JOGOS MUNDIAIS INDÍGENAS,"I World Indians Games Organization  to promote, publicize and preserve the indians culture","[{'code': '7', 'name': 'Thought Leadership'}]",3237244,2103897,[10],['Close the energy gap'],['BRA-MINISTERIO DO ESPORTE'],Non-VF,13612382
438,48524,BRA,Asia-Pacific Group,RBAP,2016,BRA/09/G31 - Energy Efficiency in Buildings,"The project objective is to influence, transform and develop the marked for energy-efficient building operations in Brazil","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1243433,540229,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,4814344
439,11660,BRA,Asia-Pacific Group,RBAP,2016,BRA/99/G32 - Hydrogen Fuel Cell Buses,Hydrogen Fuel Cell Buses for Urban Transport,"[{'code': '7', 'name': 'Thought Leadership'}]",1127175,451129,[17],['Others'],"['Global Environment Fund Truste', 'GOVERNMENT OF BRAZIL']",Non-VF,5691380
440,83642,BRA,Asia-Pacific Group,RBAP,2016,Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,BRA/14/G32 - Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",1044882,921109,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,5259676
441,51455,BRA,Asia-Pacific Group,RBAP,2016,BRA/10/G31-PIMS 3515 SUCRE-Sugarcane Renewable Electricity,The overall objective of the project is to catalyze the establishement of a comercial market for sugarcane-based to the brazilian grid,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",831598,818858,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,8251276
442,83645,BRA,Asia-Pacific Group,RBAP,2016,Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,BRA/14/G33 - Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",559298,512776,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,7039844
443,91839,BRA,Asia-Pacific Group,RBAP,2016,BRA/16/G76 - Hydrochlorofluorocarbons (HCFCs) Phase Out Management Plan (Stage II),"BRA/16/G76-Stage II of HCFC Phase out Mngt Plan (HPMP - Stage II) aims to continue the work being undertaken under Stage I, in the Brazilian PU foam sector, with aims to implement actions addressed to phase out 303.0 ODP t of HCFC consumption by 2021.","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",485827,33922,"[15, 7, 9]",['Close the energy gap'],"['GOVERNMENT OF ITALY', 'MONTREAL PROTOCOL']",Non-VF,13158083
444,77784,BRA,Asia-Pacific Group,RBAP,2016,BRA/14/G31 PIMS 4675 Production of biomass-based charcoa,BRA/14/G31 - The proposed UNDP/GEF initiative is aimed at reducing the greenhouse gas emissions from the iron and steel sector in the Brazilian State of Minas Gerais.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",300029,195774,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,9132654
445,95168,BRA,Asia-Pacific Group,RBAP,2016,BRA/16/G71 - Institutional Strengthening (phase VIII),O objetivo do projeto é contribuir para a proteção da camada de ozônio por meio do apoio ao Governo brasileiro na implementação dos compromissos assumidos perante o Protocolo de Montreal.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",28600,0,"[15, 7, 9]",['Close the energy gap'],['MONTREAL PROTOCOL'],Non-VF,584244
446,51455,BRA,Asia-Pacific Group,RBAP,2017,BRA/10/G31-PIMS 3515 SUCRE-Sugarcane Renewable Electricity,The overall objective of the project is to catalyze the establishement of a comercial market for sugarcane-based to the brazilian grid,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1923976,1917565,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,8251276
447,48524,BRA,Asia-Pacific Group,RBAP,2017,BRA/09/G31 - Energy Efficiency in Buildings,"The project objective is to influence, transform and develop the marked for energy-efficient building operations in Brazil","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1752272,1188901,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,4814344
448,91839,BRA,Asia-Pacific Group,RBAP,2017,BRA/16/G76 - Hydrochlorofluorocarbons (HCFCs) Phase Out Management Plan (Stage II),"BRA/16/G76-Stage II of HCFC Phase out Mngt Plan (HPMP - Stage II) aims to continue the work being undertaken under Stage I, in the Brazilian PU foam sector, with aims to implement actions addressed to phase out 303.0 ODP t of HCFC consumption by 2021.","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1693841,1380173,"[15, 7, 9]",['Close the energy gap'],"['GOVERNMENT OF ITALY', 'MONTREAL PROTOCOL']",Non-VF,13158083
449,77784,BRA,Asia-Pacific Group,RBAP,2017,BRA/14/G31 PIMS 4675 Production of biomass-based charcoa,BRA/14/G31 - The proposed UNDP/GEF initiative is aimed at reducing the greenhouse gas emissions from the iron and steel sector in the Brazilian State of Minas Gerais.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1380602,459825,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,9132654
450,83642,BRA,Asia-Pacific Group,RBAP,2017,Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,BRA/14/G32 - Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",1354565,950555,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,5259676
451,83645,BRA,Asia-Pacific Group,RBAP,2017,Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,BRA/14/G33 - Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",1002801,887701,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,7039844
452,97304,BRA,Asia-Pacific Group,RBAP,2017,BRA/17/G31 - PIMS-5896 - Taking Deforestation out of Soy Supply Chain in MATOPIBA region.,BRA/17/G31 - PIMS-5896 - Taking Deforestation out of Soy Supply Chain in MATOPIBA region.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",745000,723517,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,7176644
453,95168,BRA,Asia-Pacific Group,RBAP,2017,BRA/16/G71 - Institutional Strengthening (phase VIII),O objetivo do projeto é contribuir para a proteção da camada de ozônio por meio do apoio ao Governo brasileiro na implementação dos compromissos assumidos perante o Protocolo de Montreal.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",230900,140514,"[15, 7, 9]",['Close the energy gap'],['MONTREAL PROTOCOL'],Non-VF,584244
454,88231,BRA,Asia-Pacific Group,RBAP,2017,ORGANIZAÇÃO DOS I JOGOS MUNDIAIS INDÍGENAS,"I World Indians Games Organization  to promote, publicize and preserve the indians culture","[{'code': '7', 'name': 'Thought Leadership'}]",24230,-108424,[10],['Close the energy gap'],['BRA-MINISTERIO DO ESPORTE'],Non-VF,13612382
455,91839,BRA,Asia-Pacific Group,RBAP,2018,BRA/16/G76 - Hydrochlorofluorocarbons (HCFCs) Phase Out Management Plan (Stage II),"BRA/16/G76-Stage II of HCFC Phase out Mngt Plan (HPMP - Stage II) aims to continue the work being undertaken under Stage I, in the Brazilian PU foam sector, with aims to implement actions addressed to phase out 303.0 ODP t of HCFC consumption by 2021.","[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",2683425,2437966,"[15, 7, 9]",['Close the energy gap'],"['GOVERNMENT OF ITALY', 'MONTREAL PROTOCOL']",Non-VF,13158083
456,77784,BRA,Asia-Pacific Group,RBAP,2018,BRA/14/G31 PIMS 4675 Production of biomass-based charcoa,BRA/14/G31 - The proposed UNDP/GEF initiative is aimed at reducing the greenhouse gas emissions from the iron and steel sector in the Brazilian State of Minas Gerais.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1848396,1625543,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,9132654
457,51455,BRA,Asia-Pacific Group,RBAP,2018,BRA/10/G31-PIMS 3515 SUCRE-Sugarcane Renewable Electricity,The overall objective of the project is to catalyze the establishement of a comercial market for sugarcane-based to the brazilian grid,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1604106,1566124,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,8251276
458,97304,BRA,Asia-Pacific Group,RBAP,2018,BRA/17/G31 - PIMS-5896 - Taking Deforestation out of Soy Supply Chain in MATOPIBA region.,BRA/17/G31 - PIMS-5896 - Taking Deforestation out of Soy Supply Chain in MATOPIBA region.,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '18', 'name': 'Accelerate structural transformations'}]",1420474,1376673,"[7, 9]",['Close the energy gap'],['Global Environment Fund Truste'],Non-VF,7176644
459,83645,BRA,Asia-Pacific Group,RBAP,2018,Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,BRA/14/G33 - Mainstreaming Biodiversity Conversation and Sustainable Use into NTFP and AFS production practicesn in Multiple-Use Forest Landscapes of High Conservation Value - EMBRAPA,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",1334059,1168408,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,7039844
460,83642,BRA,Asia-Pacific Group,RBAP,2018,Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,BRA/14/G32 - Sustainable Land Use Management in the Semiarid Region of Northeast Brazil - Sergipe,"[{'code': '1', 'name': 'Inclusive Growth'}, {'code': '19', 'name': 'Build resilience to shocks and crisis'}]",883327,727176,"[1, 15, 7]",['Promote nature-based solutions for a sustainable planet'],['Global Environment Fund Truste'],Non-VF,5259676
